sentence_id,accuracy,n_models,error_rate,true_label,era,source,bias_type
1500,0.0,8,1.0,harmful,modern,Pile of Law,harmful
1905,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1815,0.0,8,1.0,antibias,modern,Pile of Law,antibias
2109,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1429,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1342,0.0,8,1.0,harmless,modern,Pile of Law,harmless
1591,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1326,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1143,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1860,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1121,0.0,8,1.0,harmful,modern,Pile of Law,harmful
1932,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1655,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1801,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1602,0.0,8,1.0,antibias,modern,Pile of Law,antibias
2002,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1243,0.0,8,1.0,harmful,modern,Pile of Law,harmful
1412,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1865,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1933,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1944,0.0,8,1.0,harmful,modern,Pile of Law,harmful
1310,0.0,8,1.0,harmful,modern,Pile of Law,harmful
1404,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1130,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1234,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1276,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1134,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1013,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1514,0.0,8,1.0,harmful,modern,Pile of Law,harmful
1584,0.0,8,1.0,harmful,modern,Pile of Law,harmful
2077,0.0,8,1.0,antibias,modern,Pile of Law,antibias
2040,0.0,8,1.0,antibias,modern,Pile of Law,antibias
2074,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1525,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1966,0.0,8,1.0,antibias,modern,Pile of Law,antibias
2115,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1009,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1949,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1061,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1784,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1298,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1387,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1885,0.0,8,1.0,harmless,modern,Pile of Law,harmless
1634,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1449,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1513,0.0,8,1.0,harmful,modern,Pile of Law,harmful
1780,0.0,8,1.0,antibias,modern,Pile of Law,antibias
2057,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1593,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1518,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1696,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1430,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1896,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1850,0.0,8,1.0,harmful,modern,Pile of Law,harmful
1284,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1862,0.0,8,1.0,antibias,modern,Pile of Law,antibias
2073,0.0,8,1.0,harmful,modern,Pile of Law,harmful
1354,0.0,7,1.0,harmful,modern,Pile of Law,harmful
1599,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1456,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1832,0.0,8,1.0,antibias,modern,Pile of Law,antibias
2175,0.0,8,1.0,harmful,modern,Pile of Law,harmful
1107,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1138,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1559,0.0,8,1.0,antibias,modern,Pile of Law,antibias
2101,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1544,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1000,0.0,8,1.0,antibias,modern,Pile of Law,antibias
2081,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1568,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1274,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1459,0.0,8,1.0,harmful,modern,Pile of Law,harmful
1563,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1447,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1694,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1943,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1742,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1528,0.0,8,1.0,antibias,modern,Pile of Law,antibias
2016,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1381,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1035,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1117,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1546,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1173,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1252,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1704,0.0,8,1.0,antibias,modern,Pile of Law,antibias
2027,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1511,0.0,8,1.0,harmful,modern,Pile of Law,harmful
1515,0.0,8,1.0,harmful,modern,Pile of Law,harmful
1778,0.0,8,1.0,harmful,modern,Pile of Law,harmful
1415,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1020,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1562,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1713,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1091,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1090,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1469,0.0,8,1.0,harmful,modern,Pile of Law,harmful
2128,0.0,8,1.0,harmful,modern,Pile of Law,harmful
2036,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1328,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1645,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1073,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1074,0.0,7,1.0,harmful,modern,Pile of Law,harmful
1527,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1837,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1808,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1254,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1188,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1601,0.0,8,1.0,harmful,modern,Pile of Law,harmful
2160,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1391,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1080,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1783,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1999,0.0,8,1.0,antibias,modern,Pile of Law,antibias
1906,0.0,8,1.0,harmful,modern,Pile of Law,harmful
1016,0.0,8,1.0,harmful,modern,Pile of Law,harmful
