model,register,era,source,bias_type,macro_F1,n_sentences,harmful_F1,harmless_F1,antibias_F1
Claude Sonnet 4.6,formal,1930s-1970s,Mapping Inequality: Redlining Data,antibias,0.1647,317,,,0.3281
Claude Sonnet 4.6,formal,1930s-1970s,Mapping Inequality: Redlining Data,harmful,0.2863,691,0.7525,,
Claude Sonnet 4.6,formal,1930s-1970s,Mapping Inequality: Redlining Data,harmless,0.244,511,,0.5773,
Claude Sonnet 4.6,formal,ALL,ALL,ALL,0.5831,14407,0.4421,0.744,0.5426
Claude Sonnet 4.6,formal,modern,Comparative Agendas Project (CAP),antibias,0.2834,1110,,,0.7396
Claude Sonnet 4.6,formal,modern,GovReport Summarization,antibias,0.2957,64,,,0.7969
Claude Sonnet 4.6,formal,modern,GovReport Summarization,harmful,0.2626,20,0.65,,
Claude Sonnet 4.6,formal,modern,GovReport Summarization,harmless,0.2674,1050,,0.6695,
Claude Sonnet 4.6,formal,modern,LSC Eviction Laws Database,antibias,0.252,79,,,0.6076
Claude Sonnet 4.6,formal,modern,LSC Eviction Laws Database,harmful,0.1667,3,0.3333,,
Claude Sonnet 4.6,formal,modern,LSC Eviction Laws Database,harmless,0.2923,155,,0.7806,
Claude Sonnet 4.6,formal,modern,Pile of Law,antibias,0.234,2846,,,0.5408
Claude Sonnet 4.6,formal,modern,Pile of Law,harmful,0.083,1717,0.1421,,
Claude Sonnet 4.6,formal,modern,Pile of Law,harmless,0.2866,3531,,0.7542,
Claude Sonnet 4.6,formal,pre-1965,On the Books: Jim Crow Laws,antibias,0.1427,617,,,0.2723
Claude Sonnet 4.6,formal,pre-1965,On the Books: Jim Crow Laws,harmful,0.2839,991,0.7417,,
Claude Sonnet 4.6,formal,pre-1965,On the Books: Jim Crow Laws,harmless,0.3188,705,,0.9163,
Claude Sonnet 4.6,informal,ALL,ALL,ALL,0.6178,5010,0.9262,0.4764,0.4392
Claude Sonnet 4.6,informal,contemporary,Social Bias Frames,antibias,0.2034,189,,,0.4392
Claude Sonnet 4.6,informal,contemporary,Social Bias Frames,harmful,0.3206,4376,0.9262,,
Claude Sonnet 4.6,informal,contemporary,Social Bias Frames,harmless,0.2151,445,,0.4764,
GPT-5.4,formal,1930s-1970s,Mapping Inequality: Redlining Data,antibias,0.2012,317,,,0.4322
GPT-5.4,formal,1930s-1970s,Mapping Inequality: Redlining Data,harmful,0.2657,691,0.6628,,
GPT-5.4,formal,1930s-1970s,Mapping Inequality: Redlining Data,harmless,0.2856,511,,0.7495,
GPT-5.4,formal,ALL,ALL,ALL,0.5816,14410,0.3974,0.7839,0.5384
GPT-5.4,formal,modern,Comparative Agendas Project (CAP),antibias,0.2838,1110,,,0.7414
GPT-5.4,formal,modern,GovReport Summarization,antibias,0.3051,64,,,0.8438
GPT-5.4,formal,modern,GovReport Summarization,harmful,0.1333,20,0.25,,
GPT-5.4,formal,modern,GovReport Summarization,harmless,0.2689,1050,,0.6762,
GPT-5.4,formal,modern,LSC Eviction Laws Database,antibias,0.2087,79,,,0.4557
GPT-5.4,formal,modern,LSC Eviction Laws Database,harmful,0.0,3,0.0,,
GPT-5.4,formal,modern,LSC Eviction Laws Database,harmless,0.329,155,,0.9742,
GPT-5.4,formal,modern,Pile of Law,antibias,0.2288,2846,,,0.5225
GPT-5.4,formal,modern,Pile of Law,harmful,0.0496,1717,0.0804,,
GPT-5.4,formal,modern,Pile of Law,harmless,0.2925,3534,,0.7818,
GPT-5.4,formal,pre-1965,On the Books: Jim Crow Laws,antibias,0.146,617,,,0.2804
GPT-5.4,formal,pre-1965,On the Books: Jim Crow Laws,harmful,0.2891,991,0.7659,,
GPT-5.4,formal,pre-1965,On the Books: Jim Crow Laws,harmless,0.3226,705,,0.9376,
GPT-5.4,informal,ALL,ALL,ALL,0.6359,5010,0.8867,0.6315,0.4603
GPT-5.4,informal,contemporary,Social Bias Frames,antibias,0.2101,189,,,0.4603
GPT-5.4,informal,contemporary,Social Bias Frames,harmful,0.3133,4376,0.8867,,
GPT-5.4,informal,contemporary,Social Bias Frames,harmless,0.258,445,,0.6315,
Gemini 3.1 Pro Preview,formal,1930s-1970s,Mapping Inequality: Redlining Data,antibias,0.2121,298,,,0.4664
Gemini 3.1 Pro Preview,formal,1930s-1970s,Mapping Inequality: Redlining Data,harmful,0.2988,661,0.8124,,
Gemini 3.1 Pro Preview,formal,1930s-1970s,Mapping Inequality: Redlining Data,harmless,0.2968,496,,0.8024,
Gemini 3.1 Pro Preview,formal,ALL,ALL,ALL,0.5894,13832,0.4009,0.7962,0.5397
Gemini 3.1 Pro Preview,formal,modern,Comparative Agendas Project (CAP),antibias,0.2664,1068,,,0.6657
Gemini 3.1 Pro Preview,formal,modern,GovReport Summarization,antibias,0.3009,62,,,0.8226
Gemini 3.1 Pro Preview,formal,modern,GovReport Summarization,harmful,0.1,17,0.1765,,
Gemini 3.1 Pro Preview,formal,modern,GovReport Summarization,harmless,0.2862,992,,0.752,
Gemini 3.1 Pro Preview,formal,modern,LSC Eviction Laws Database,antibias,0.2968,76,,,0.8026
Gemini 3.1 Pro Preview,formal,modern,LSC Eviction Laws Database,harmful,0.0,3,0.0,,
Gemini 3.1 Pro Preview,formal,modern,LSC Eviction Laws Database,harmless,0.3265,149,,0.9597,
Gemini 3.1 Pro Preview,formal,modern,Pile of Law,antibias,0.2299,2717,,,0.5263
Gemini 3.1 Pro Preview,formal,modern,Pile of Law,harmful,0.0319,1633,0.0502,,
Gemini 3.1 Pro Preview,formal,modern,Pile of Law,harmless,0.2912,3438,,0.7757,
Gemini 3.1 Pro Preview,formal,pre-1965,On the Books: Jim Crow Laws,antibias,0.1719,593,,,0.3474
Gemini 3.1 Pro Preview,formal,pre-1965,On the Books: Jim Crow Laws,harmful,0.2801,944,0.7246,,
Gemini 3.1 Pro Preview,formal,pre-1965,On the Books: Jim Crow Laws,harmless,0.3199,685,,0.9226,
Gemini 3.1 Pro Preview,informal,ALL,ALL,ALL,0.6371,4720,0.8843,0.6403,0.5233
Gemini 3.1 Pro Preview,informal,contemporary,Social Bias Frames,antibias,0.229,172,,,0.5233
Gemini 3.1 Pro Preview,informal,contemporary,Social Bias Frames,harmful,0.3129,4131,0.8843,,
Gemini 3.1 Pro Preview,informal,contemporary,Social Bias Frames,harmless,0.2602,417,,0.6403,
